Name,BER,Gbps/mm,pJ/bit,Reach (mm),Process
Lightmatter L200,1.00E-09,1500,2.6,1.00E+06,45
Columbia,4.00E-10,2000,0.4324,2.00E+04,28
SuperCHIPS,1.00E-25,1200,0.028,0.5,16
UCIe 64G,1.00E-15,21000,0.5,5,3
UCIe 36G,1.00E-15,11800,0.45,5,3
Mlink,1.00E-25,5310,0.46,1,7
Nvidia GRS,1.00E-15,354,0.54,54,16
112G XSR,1.00E-07,700,1.5,50,7
OCP BoW,1.00E-20,500,0.3,25,12
Broadcom CPC,1.00E-9,539,7.2,1254,3
Mediatek,2.50E-6,644,5.3,400,5
Daudlin,6.00E-8,315,0.326,4000,28
Netherton,2.90E-5,733,0.37,20000,7
UCD-TAMU EPIC,1.00E-12,8060,0.080,200,12
Chang,1.00E-12,4500,0.496,100,12
NuLink,1.00E-15,4550,0.5,20,3
