label,top,N,K,GF_WIDTH,CLK_NS,area,wns,total_dyn_mw
N544_K514_GF10_TT2T030_CLK0.400ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,544,514,10,0.400000,12053.679354,-318.578796,21.100643
N544_K514_GF10_TT2T030_CLK1.200ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,544,514,10,1.200000,11843.508654,0.242554,7.246696
N544_K514_GF10_TT2T030_CLK2.000ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,544,514,10,2.000000,10571.15581,1198.722656,3.596159
N544_K514_GF10_TT2T030_CLK2.800ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,544,514,10,2.800000,10584.817271,1994.577393,2.529567
N544_K514_GF10_TT2T030_CLK0.600ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,544,514,10,0.600000,12018.045836,-127.617126,14.47576
N544_K514_GF10_TT2T030_CLK1.400ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,544,514,10,1.400000,11957.772111,0.434204,6.543118
N544_K514_GF10_TT2T030_CLK2.200ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,544,514,10,2.200000,10575.31111,1394.577393,3.244496
N544_K514_GF10_TT2T030_CLK3.000ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,544,514,10,3.000000,10584.817271,2194.577393,2.360929
N544_K514_GF10_TT2T030_CLK0.800ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,544,514,10,0.800000,11918.201994,0.433838,10.887283
N544_K514_GF10_TT2T030_CLK1.600ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,544,514,10,1.600000,10567.65661,794.577332,4.545862
N544_K514_GF10_TT2T030_CLK2.400ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,544,514,10,2.400000,10587.616631,1594.577393,2.934789
N544_K514_GF10_TT2T030_CLK1.000ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,544,514,10,1.000000,11862.783414,0.121643,8.695677
N544_K514_GF10_TT2T030_CLK1.800ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,544,514,10,1.800000,10568.21065,994.577332,4.03247
N544_K514_GF10_TT2T030_CLK2.600ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,544,514,10,2.600000,10584.817271,1794.577393,2.724149
N544_K514_GF10_TT2T030_CLK1.450ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,544,514,10,1.450000,11954.622831,0.580566,6.313193
N544_K514_GF10_TT2T030_CLK1.500ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,544,514,10,1.500000,11956.766091,0.463745,6.115268
N544_K514_GF10_TT2T030_CLK1.550ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,544,514,10,1.550000,10567.64203,744.577332,4.683171
