label,top,N,K,GF_WIDTH,CLK_NS,area,wns,total_dyn_mw
N514_K512_GF8_TT2T002_CLK1.550ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,514,512,8,1.550000,55.81224,973.372131,0.095709
N518_K512_GF8_TT2T006_CLK1.550ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,518,512,8,1.550000,8588.144653,8.044922,3.892793
N524_K512_GF8_TT2T012_CLK1.550ns_TT_rs_syndrome,rs_syndrome,524,512,8,1.550000,163.689659,930.308167,0.225407
N530_K512_GF8_TT2T018_CLK1.550ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,530,512,8,1.550000,392.653978,688.756836,0.72684
N538_K512_GF8_TT2T026_CLK1.550ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,538,512,8,1.550000,9876.331369,0.527344,4.994424
N534_K512_GF8_TT2T022_CLK1.550ns_TT_rs_syndrome,rs_syndrome,534,512,8,1.550000,298.394278,788.966064,0.419817
N514_K512_GF8_TT2T002_CLK1.550ns_TT_rs_syndrome,rs_syndrome,514,512,8,1.550000,33.2424,1175.418701,0.041729
N520_K512_GF8_TT2T008_CLK1.550ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,520,512,8,1.550000,179.450639,809.618103,0.323899
N524_K512_GF8_TT2T012_CLK1.550ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,524,512,8,1.550000,8964.512765,4.228516,4.308716
N530_K512_GF8_TT2T018_CLK1.550ns_TT_rs_syndrome,rs_syndrome,530,512,8,1.550000,244.623239,926.435547,0.342347
N544_K512_GF8_TT2T032_CLK1.550ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,544,512,8,1.550000,683.904056,631.002014,1.269441
N534_K512_GF8_TT2T022_CLK1.550ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,534,512,8,1.550000,9620.350314,3.154419,4.839397
N514_K512_GF8_TT2T002_CLK1.550ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,514,512,8,1.550000,8324.611158,133.993652,3.692673
N520_K512_GF8_TT2T008_CLK1.550ns_TT_rs_syndrome,rs_syndrome,520,512,8,1.550000,109.758239,960.207275,0.146985
N526_K512_GF8_TT2T014_CLK1.550ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,526,512,8,1.550000,306.734038,864.465942,0.560638
N530_K512_GF8_TT2T018_CLK1.550ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,530,512,8,1.550000,9356.758498,8.629395,4.588216
N544_K512_GF8_TT2T032_CLK1.550ns_TT_rs_syndrome,rs_syndrome,544,512,8,1.550000,427.675138,776.913452,0.597256
N516_K512_GF8_TT2T004_CLK1.550ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,516,512,8,1.550000,98.050499,846.93634,0.176855
N520_K512_GF8_TT2T008_CLK1.550ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,520,512,8,1.550000,8712.73075,6.097046,3.9694
N526_K512_GF8_TT2T014_CLK1.550ns_TT_rs_syndrome,rs_syndrome,526,512,8,1.550000,190.458539,919.503052,0.263924
N532_K512_GF8_TT2T020_CLK1.550ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,532,512,8,1.550000,438.653877,651.682739,0.813175
N544_K512_GF8_TT2T032_CLK1.550ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,544,512,8,1.550000,10248.689982,1.669556,5.36422
N516_K512_GF8_TT2T004_CLK1.550ns_TT_rs_syndrome,rs_syndrome,516,512,8,1.550000,57.12444,1040.164185,0.073835
N522_K512_GF8_TT2T010_CLK1.550ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,522,512,8,1.550000,221.820119,849.844299,0.404334
N526_K512_GF8_TT2T014_CLK1.550ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,526,512,8,1.550000,9094.785063,1.964478,4.314789
N532_K512_GF8_TT2T020_CLK1.550ns_TT_rs_syndrome,rs_syndrome,532,512,8,1.550000,271.989899,829.878113,0.382165
N554_K512_GF8_TT2T042_CLK1.550ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,554,512,8,1.550000,891.056695,436.368286,1.644239
