label,top,N,K,GF_WIDTH,CLK_NS,area,wns,total_dyn_mw
N514_K512_GF8_TT2T002_CLK2.600ns_db_rs_encoder_wrapper,rs_encoder_wrapper,514,512,8,2.600000,738.15001,1.67298,0.229318
N516_K512_GF8_TT2T004_CLK2.600ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,516,512,8,2.600000,130383.355122,0.013996,22.565905
N520_K512_GF8_TT2T008_CLK2.600ns_db_rs_syndrome,rs_syndrome,520,512,8,2.600000,1423.898019,1.722172,0.425989
N524_K512_GF8_TT2T012_CLK2.600ns_db_rs_encoder_wrapper,rs_encoder_wrapper,524,512,8,2.600000,3426.08003,1.146792,0.883698
N526_K512_GF8_TT2T014_CLK2.600ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,526,512,8,2.600000,139401.81896,0.008879,24.971542
N530_K512_GF8_TT2T018_CLK2.600ns_db_rs_syndrome,rs_syndrome,530,512,8,2.600000,3144.386035,1.526234,1.905826
N538_K512_GF8_TT2T026_CLK2.600ns_db_rs_encoder_wrapper,rs_encoder_wrapper,538,512,8,2.600000,7172.956059,0.984439,1.812653
N544_K512_GF8_TT2T032_CLK2.600ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,544,512,8,2.600000,156063.260648,0.003285,27.932758
N534_K512_GF8_TT2T022_CLK2.600ns_db_rs_syndrome,rs_syndrome,534,512,8,2.600000,3830.932042,1.467246,2.344236
N514_K512_GF8_TT2T002_CLK2.600ns_db_rs_syndrome,rs_syndrome,514,512,8,2.600000,445.018007,1.860384,0.206384
N518_K512_GF8_TT2T006_CLK2.600ns_db_rs_encoder_wrapper,rs_encoder_wrapper,518,512,8,2.600000,1777.678019,1.320771,0.490173
N520_K512_GF8_TT2T008_CLK2.600ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,520,512,8,2.600000,133999.093055,0.013176,23.459576
N524_K512_GF8_TT2T012_CLK2.600ns_db_rs_syndrome,rs_syndrome,524,512,8,2.600000,2112.306026,1.588097,1.238214
N528_K512_GF8_TT2T016_CLK2.600ns_db_rs_encoder_wrapper,rs_encoder_wrapper,528,512,8,2.600000,4506.040038,1.282087,1.148579
N530_K512_GF8_TT2T018_CLK2.600ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,530,512,8,2.600000,143319.466879,0.0048,25.087765
N538_K512_GF8_TT2T026_CLK2.600ns_db_rs_syndrome,rs_syndrome,538,512,8,2.600000,4477.844049,1.239805,3.232475
N554_K512_GF8_TT2T042_CLK2.600ns_db_rs_encoder_wrapper,rs_encoder_wrapper,554,512,8,2.600000,11356.072095,0.778453,2.881409
N534_K512_GF8_TT2T022_CLK2.600ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,534,512,8,2.600000,146837.050822,0.000202,27.389484
N514_K512_GF8_TT2T002_CLK2.600ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,514,512,8,2.600000,128583.599136,0.501185,22.492073
N518_K512_GF8_TT2T006_CLK2.600ns_db_rs_syndrome,rs_syndrome,518,512,8,2.600000,1085.812015,1.681076,0.313216
N522_K512_GF8_TT2T010_CLK2.600ns_db_rs_encoder_wrapper,rs_encoder_wrapper,522,512,8,2.600000,2857.638027,1.136696,0.757513
N524_K512_GF8_TT2T012_CLK2.600ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,524,512,8,2.600000,137604.988991,0.004643,24.848976
N528_K512_GF8_TT2T016_CLK2.600ns_db_rs_syndrome,rs_syndrome,528,512,8,2.600000,2796.458032,1.602153,1.733073
N532_K512_GF8_TT2T020_CLK2.600ns_db_rs_encoder_wrapper,rs_encoder_wrapper,532,512,8,2.600000,5616.590046,1.050426,1.416345
N538_K512_GF8_TT2T026_CLK2.600ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,538,512,8,2.600000,150322.714759,0.000633,26.734343
