label,top,N,K,GF_WIDTH,CLK_NS,area,wns,total_dyn_mw
N86_K40_GF8_TT2T046_CLK0.800ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,40,8,0.800000,978.740814,5.935974,3.518393
N86_K44_GF8_TT2T042_CLK0.800ns_TT_rs_decoder,rs_decoder,86,44,8,0.800000,3629.399331,0.062927,4.996791
N86_K50_GF8_TT2T036_CLK0.800ns_TT_rs_syndrome,rs_syndrome,86,50,8,0.800000,477.407517,94.961243,1.289985
N86_K56_GF8_TT2T030_CLK0.800ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,56,8,0.800000,641.840756,19.774658,2.321001
N86_K60_GF8_TT2T026_CLK0.800ns_TT_rs_decoder,rs_decoder,86,60,8,0.800000,2812.409043,0.083435,3.606431
N86_K66_GF8_TT2T020_CLK0.800ns_TT_rs_syndrome,rs_syndrome,86,66,8,0.800000,269.613359,90.389221,0.734312
N86_K72_GF8_TT2T014_CLK0.800ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,72,8,0.800000,304.692838,91.372253,1.080801
N86_K76_GF8_TT2T010_CLK0.800ns_TT_rs_decoder,rs_decoder,86,76,8,0.800000,2008.657395,0.11499,2.169206
N86_K82_GF8_TT2T004_CLK0.800ns_TT_rs_syndrome,rs_syndrome,86,82,8,0.800000,55.68102,268.711121,0.137155
N86_K40_GF8_TT2T046_CLK0.800ns_TT_rs_syndrome,rs_syndrome,86,40,8,0.800000,610.901997,133.117004,1.66287
N86_K46_GF8_TT2T040_CLK0.800ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,46,8,0.800000,855.408595,2.846558,3.078499
N86_K50_GF8_TT2T036_CLK0.800ns_TT_rs_decoder,rs_decoder,86,50,8,0.800000,3322.723616,0.006104,4.438636
N86_K56_GF8_TT2T030_CLK0.800ns_TT_rs_syndrome,rs_syndrome,86,56,8,0.800000,400.177258,19.70343,1.081172
N86_K62_GF8_TT2T024_CLK0.800ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,62,8,0.800000,516.059097,1.52594,1.854128
N86_K66_GF8_TT2T020_CLK0.800ns_TT_rs_decoder,rs_decoder,86,66,8,0.800000,2507.512087,0.008728,3.066871
N86_K72_GF8_TT2T014_CLK0.800ns_TT_rs_syndrome,rs_syndrome,86,72,8,0.800000,188.723519,153.355713,0.504865
N86_K78_GF8_TT2T008_CLK0.800ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,78,8,0.800000,177.365699,122.496155,0.62158
N86_K82_GF8_TT2T004_CLK0.800ns_TT_rs_decoder,rs_decoder,86,82,8,0.800000,1715.555659,0.179932,1.605401
N86_K42_GF8_TT2T044_CLK0.800ns_TT_rs_syndrome,rs_syndrome,86,42,8,0.800000,584.162277,142.061829,1.592127
N86_K48_GF8_TT2T038_CLK0.800ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,48,8,0.800000,812.718355,6.83136,2.926363
N86_K52_GF8_TT2T034_CLK0.800ns_TT_rs_decoder,rs_decoder,86,52,8,0.800000,3206.083617,0.016235,4.270051
N86_K58_GF8_TT2T028_CLK0.800ns_TT_rs_syndrome,rs_syndrome,86,58,8,0.800000,373.495858,193.281616,1.011931
N86_K64_GF8_TT2T022_CLK0.800ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,64,8,0.800000,478.326057,8.091736,1.721232
N86_K68_GF8_TT2T018_CLK0.800ns_TT_rs_decoder,rs_decoder,86,68,8,0.800000,2409.505329,0.026123,2.897552
N86_K74_GF8_TT2T012_CLK0.800ns_TT_rs_syndrome,rs_syndrome,86,74,8,0.800000,161.342279,188.076416,0.431107
N86_K80_GF8_TT2T006_CLK0.800ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,80,8,0.800000,134.835839,75.634888,0.472574
N86_K84_GF8_TT2T002_CLK0.800ns_TT_rs_decoder,rs_decoder,86,84,8,0.800000,1599.017721,0.067383,1.439802
N86_K42_GF8_TT2T044_CLK0.800ns_TT_rs_decoder,rs_decoder,86,42,8,0.800000,3744.289731,-7.217285,5.192088
N86_K48_GF8_TT2T038_CLK0.800ns_TT_rs_syndrome,rs_syndrome,86,48,8,0.800000,503.461977,49.098938,1.359432
N86_K54_GF8_TT2T032_CLK0.800ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,54,8,0.800000,681.614996,10.645996,2.453465
N86_K58_GF8_TT2T028_CLK0.800ns_TT_rs_decoder,rs_decoder,86,58,8,0.800000,2910.809461,0.019226,3.781344
N86_K64_GF8_TT2T022_CLK0.800ns_TT_rs_syndrome,rs_syndrome,86,64,8,0.800000,296.732158,62.734253,0.807418
N86_K70_GF8_TT2T016_CLK0.800ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,70,8,0.800000,348.855658,23.026489,1.253064
