label,top,N,K,GF_WIDTH,CLK_NS,area,wns,total_dyn_mw
N86_K82_GF8_TT2T004_CLK0.600ns_TT_rs_decoder,rs_decoder,86,82,8,0.600000,1740.0209,-60.927795,2.094392
N86_K82_GF8_TT2T004_CLK1.000ns_TT_rs_decoder,rs_decoder,86,82,8,1.000000,1711.152499,0.986267,1.287618
N86_K82_GF8_TT2T004_CLK1.200ns_TT_rs_decoder,rs_decoder,86,82,8,1.200000,1706.574379,3.899536,1.074048
N86_K82_GF8_TT2T004_CLK2.000ns_TT_rs_decoder,rs_decoder,86,82,8,2.000000,1704.387379,125.763428,0.645994
N86_K82_GF8_TT2T004_CLK0.800ns_TT_rs_decoder,rs_decoder,86,82,8,0.800000,1716.809539,0.231384,1.605911
N86_K82_GF8_TT2T004_CLK1.050ns_TT_rs_decoder,rs_decoder,86,82,8,1.050000,1710.423499,0.658936,1.229291
N86_K82_GF8_TT2T004_CLK1.400ns_TT_rs_decoder,rs_decoder,86,82,8,1.400000,1705.553779,4.143555,0.923465
N86_K82_GF8_TT2T004_CLK2.500ns_TT_rs_decoder,rs_decoder,86,82,8,2.500000,1706.399419,586.907715,0.511993
N86_K82_GF8_TT2T004_CLK0.900ns_TT_rs_decoder,rs_decoder,86,82,8,0.900000,1714.039339,0.458069,1.431143
N86_K82_GF8_TT2T004_CLK1.100ns_TT_rs_decoder,rs_decoder,86,82,8,1.100000,1708.805119,2.446533,1.16937
N86_K82_GF8_TT2T004_CLK1.600ns_TT_rs_decoder,rs_decoder,86,82,8,1.600000,1704.562339,12.627441,0.805872
N86_K82_GF8_TT2T004_CLK3.000ns_TT_rs_decoder,rs_decoder,86,82,8,3.000000,1708.003219,1087.595459,0.435676
N86_K82_GF8_TT2T004_CLK0.950ns_TT_rs_decoder,rs_decoder,86,82,8,0.950000,1713.674839,0.174988,1.364906
N86_K82_GF8_TT2T004_CLK1.150ns_TT_rs_decoder,rs_decoder,86,82,8,1.150000,1707.901159,0.655396,1.12085
N86_K82_GF8_TT2T004_CLK1.800ns_TT_rs_decoder,rs_decoder,86,82,8,1.800000,1704.387379,36.628784,0.716685
N86_K82_GF8_TT2T004_CLK0.650ns_TT_rs_decoder,rs_decoder,86,82,8,0.650000,1736.113459,-24.443604,1.962616
N86_K82_GF8_TT2T004_CLK0.850ns_TT_rs_decoder,rs_decoder,86,82,8,0.850000,1715.803519,0.099548,1.513893
N86_K82_GF8_TT2T004_CLK0.700ns_TT_rs_decoder,rs_decoder,86,82,8,0.700000,1723.837099,0.214844,1.815277
N86_K82_GF8_TT2T004_CLK0.750ns_TT_rs_decoder,rs_decoder,86,82,8,0.750000,1717.494799,0.001587,1.718188
N86_K82_GF8_TT2T004_CLK0.725ns_TT_rs_decoder,rs_decoder,86,82,8,0.725000,1721.620939,0.142212,1.781242
N86_K82_GF8_TT2T004_CLK0.775ns_TT_rs_decoder,rs_decoder,86,82,8,0.775000,1715.876419,0.131287,1.657291
N86_K82_GF8_TT2T004_CLK0.675ns_TT_rs_decoder,rs_decoder,86,82,8,0.675000,1729.771159,0.076294,1.876309
N86_K82_GF8_TT2T004_CLK0.714ns_TT_rs_decoder,rs_decoder,86,82,8,0.714300,1724.230759,0.170532,1.799181
N86_K82_GF8_TT2T004_CLK0.690ns_TT_rs_decoder,rs_decoder,86,82,8,0.689700,1727.642479,0.066345,1.831965
N86_K82_GF8_TT2T004_CLK0.667ns_TT_rs_decoder,rs_decoder,86,82,8,0.666700,1736.944519,0.218811,1.902359
