label,top,N,K,GF_WIDTH,CLK_NS,area,wns,total_dyn_mw
N86_K40_GF8_TT2T046_CLK2.000ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,40,8,2.000000,978.580434,903.563843,1.408765
N86_K42_GF8_TT2T044_CLK2.000ns_TT_rs_syndrome,rs_syndrome,86,42,8,2.000000,584.949597,1214.347778,0.636642
N86_K44_GF8_TT2T042_CLK2.000ns_TT_rs_decoder,rs_decoder,86,44,8,2.000000,3517.06043,34.708496,2.007078
N86_K48_GF8_TT2T038_CLK2.000ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,48,8,2.000000,812.543395,1097.058716,1.171324
N86_K50_GF8_TT2T036_CLK2.000ns_TT_rs_syndrome,rs_syndrome,86,50,8,2.000000,477.407517,1294.961182,0.516022
N86_K52_GF8_TT2T034_CLK2.000ns_TT_rs_decoder,rs_decoder,86,52,8,2.000000,3132.542096,31.66748,1.711766
N86_K56_GF8_TT2T030_CLK2.000ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,56,8,2.000000,642.890516,1062.087891,0.928745
N86_K58_GF8_TT2T028_CLK2.000ns_TT_rs_syndrome,rs_syndrome,86,58,8,2.000000,373.437538,1270.905518,0.40481
N86_K60_GF8_TT2T026_CLK2.000ns_TT_rs_decoder,rs_decoder,86,60,8,2.000000,2751.070982,11.126465,1.440531
N86_K64_GF8_TT2T022_CLK2.000ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,64,8,2.000000,478.223997,1092.934082,0.688234
N86_K66_GF8_TT2T020_CLK2.000ns_TT_rs_syndrome,rs_syndrome,86,66,8,2.000000,269.613359,1290.254883,0.293547
N86_K68_GF8_TT2T018_CLK2.000ns_TT_rs_decoder,rs_decoder,86,68,8,2.000000,2373.798908,84.143799,1.155974
N86_K72_GF8_TT2T014_CLK2.000ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,72,8,2.000000,304.692838,1291.372314,0.432366
N86_K74_GF8_TT2T012_CLK2.000ns_TT_rs_syndrome,rs_syndrome,86,74,8,2.000000,161.225639,1354.218994,0.172287
N86_K76_GF8_TT2T010_CLK2.000ns_TT_rs_decoder,rs_decoder,86,76,8,2.000000,1990.097055,100.75,0.859835
N86_K80_GF8_TT2T006_CLK2.000ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,80,8,2.000000,134.835839,1275.63501,0.188973
N86_K82_GF8_TT2T004_CLK2.000ns_TT_rs_syndrome,rs_syndrome,86,82,8,2.000000,55.68102,1468.711182,0.054819
N86_K84_GF8_TT2T002_CLK2.000ns_TT_rs_decoder,rs_decoder,86,84,8,2.000000,1597.238961,641.231323,0.576499
N86_K40_GF8_TT2T046_CLK2.000ns_TT_rs_syndrome,rs_syndrome,86,40,8,2.000000,610.624977,1350.797119,0.665198
N86_K42_GF8_TT2T044_CLK2.000ns_TT_rs_decoder,rs_decoder,86,42,8,2.000000,3611.582568,6.991333,2.062244
N86_K46_GF8_TT2T040_CLK2.000ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,46,8,2.000000,855.948055,946.260376,1.232974
N86_K48_GF8_TT2T038_CLK2.000ns_TT_rs_syndrome,rs_syndrome,86,48,8,2.000000,503.505717,1075.251465,0.543813
N86_K50_GF8_TT2T036_CLK2.000ns_TT_rs_decoder,rs_decoder,86,50,8,2.000000,3228.551395,23.17688,1.777718
N86_K54_GF8_TT2T032_CLK2.000ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,54,8,2.000000,681.425456,1033.716553,0.981962
N86_K56_GF8_TT2T030_CLK2.000ns_TT_rs_syndrome,rs_syndrome,86,56,8,2.000000,399.696118,1266.506104,0.432636
N86_K58_GF8_TT2T028_CLK2.000ns_TT_rs_decoder,rs_decoder,86,58,8,2.000000,2846.292961,31.760742,1.507302
N86_K62_GF8_TT2T024_CLK2.000ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,62,8,2.000000,516.365277,1178.904297,0.741688
N86_K64_GF8_TT2T022_CLK2.000ns_TT_rs_syndrome,rs_syndrome,86,64,8,2.000000,296.732158,1262.311768,0.323269
N86_K66_GF8_TT2T020_CLK2.000ns_TT_rs_decoder,rs_decoder,86,66,8,2.000000,2469.166687,78.12854,1.228066
N86_K70_GF8_TT2T016_CLK2.000ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,70,8,2.000000,349.001458,1220.037109,0.501461
N86_K72_GF8_TT2T014_CLK2.000ns_TT_rs_syndrome,rs_syndrome,86,72,8,2.000000,188.723519,1350.913086,0.202035
N86_K74_GF8_TT2T012_CLK2.000ns_TT_rs_decoder,rs_decoder,86,74,8,2.000000,2083.817293,109.254883,0.937461
N86_K78_GF8_TT2T008_CLK2.000ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,78,8,2.000000,177.365699,1322.493408,0.248665
N86_K80_GF8_TT2T006_CLK2.000ns_TT_rs_syndrome,rs_syndrome,86,80,8,2.000000,80.96274,1437.836182,0.082196
N86_K82_GF8_TT2T004_CLK2.000ns_TT_rs_decoder,rs_decoder,86,82,8,2.000000,1704.387379,125.763428,0.645994
N86_K40_GF8_TT2T046_CLK2.000ns_TT_rs_decoder,rs_decoder,86,40,8,2.000000,3702.036887,50.497559,2.143644
N86_K44_GF8_TT2T042_CLK2.000ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,44,8,2.000000,889.365415,995.249023,1.273317
N86_K46_GF8_TT2T040_CLK2.000ns_TT_rs_syndrome,rs_syndrome,86,46,8,2.000000,530.332917,1215.997437,0.574396
N86_K48_GF8_TT2T038_CLK2.000ns_TT_rs_decoder,rs_decoder,86,48,8,2.000000,3324.152453,19.966919,1.856067
N86_K52_GF8_TT2T034_CLK2.000ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,52,8,2.000000,730.180975,1194.790405,1.058235
N86_K54_GF8_TT2T032_CLK2.000ns_TT_rs_syndrome,rs_syndrome,86,54,8,2.000000,425.969278,1220.758545,0.460609
N86_K56_GF8_TT2T030_CLK2.000ns_TT_rs_decoder,rs_decoder,86,56,8,2.000000,2942.054399,24.87793,1.578835
N86_K60_GF8_TT2T026_CLK2.000ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,60,8,2.000000,558.734756,1148.04248,0.806065
