label,top,N,K,GF_WIDTH,CLK_NS,area,wns,total_dyn_mw
N86_K82_GF8_TT2T004_CLK1.300ns_db_rs_decoder,rs_decoder,86,82,8,1.300000,26273.883482,-0.379487,8.784502
N86_K82_GF8_TT2T004_CLK1.900ns_db_rs_decoder,rs_decoder,86,82,8,1.900000,26144.607476,-0.00753,6.12175
N86_K82_GF8_TT2T004_CLK2.300ns_db_rs_decoder,rs_decoder,86,82,8,2.300000,25960.003479,0.0046,5.008698
N86_K82_GF8_TT2T004_CLK2.800ns_db_rs_decoder,rs_decoder,86,82,8,2.800000,25911.59148,0.125081,4.098586
N86_K82_GF8_TT2T004_CLK4.000ns_db_rs_decoder,rs_decoder,86,82,8,4.000000,25955.747475,1.083596,2.854087
N86_K82_GF8_TT2T004_CLK1.500ns_db_rs_decoder,rs_decoder,86,82,8,1.500000,26157.641478,-0.370574,7.709766
N86_K82_GF8_TT2T004_CLK2.000ns_db_rs_decoder,rs_decoder,86,82,8,2.000000,26094.865476,0.000411,5.812517
N86_K82_GF8_TT2T004_CLK2.400ns_db_rs_decoder,rs_decoder,86,82,8,2.400000,25931.00948,0.006357,4.77924
N86_K82_GF8_TT2T004_CLK3.000ns_db_rs_decoder,rs_decoder,86,82,8,3.000000,25908.399481,0.183026,3.827768
N86_K82_GF8_TT2T004_CLK1.700ns_db_rs_decoder,rs_decoder,86,82,8,1.700000,26125.455482,-0.034744,6.750892
N86_K82_GF8_TT2T004_CLK2.100ns_db_rs_decoder,rs_decoder,86,82,8,2.100000,26053.103477,0.002023,5.530362
N86_K82_GF8_TT2T004_CLK2.500ns_db_rs_decoder,rs_decoder,86,82,8,2.500000,25911.32548,0.021017,4.591097
N86_K82_GF8_TT2T004_CLK3.200ns_db_rs_decoder,rs_decoder,86,82,8,3.200000,25907.601481,0.280356,3.588528
N86_K82_GF8_TT2T004_CLK1.800ns_db_rs_decoder,rs_decoder,86,82,8,1.800000,26116.145478,-0.061723,6.439808
N86_K82_GF8_TT2T004_CLK2.200ns_db_rs_decoder,rs_decoder,86,82,8,2.200000,25989.529478,0.000206,5.250198
N86_K82_GF8_TT2T004_CLK2.600ns_db_rs_decoder,rs_decoder,86,82,8,2.600000,25909.19748,0.009453,4.417282
N86_K82_GF8_TT2T004_CLK3.600ns_db_rs_decoder,rs_decoder,86,82,8,3.600000,25957.077475,0.659142,3.171205
N86_K82_GF8_TT2T004_CLK2.050ns_db_rs_decoder,rs_decoder,86,82,8,2.050000,26042.463476,0.004066,5.650793
N86_K82_GF8_TT2T004_CLK1.975ns_db_rs_decoder,rs_decoder,86,82,8,1.975000,26015.33148,0.000152,5.818911
N86_K82_GF8_TT2T004_CLK1.950ns_db_rs_decoder,rs_decoder,86,82,8,1.950000,26024.90748,0.000169,5.893073
N86_K82_GF8_TT2T004_CLK2.025ns_db_rs_decoder,rs_decoder,86,82,8,2.025000,26082.629476,0.000322,5.745144
