CLK_NS,power_mw,dyn_mw,leak_mw,N,K,GF_WIDTH,wns_ns,freq_hz,freq_mhz,energy_pj_per_bit
3.0,0.43707433100000004,0.43567633100000003,0.001398,86,82,8,1.0875954589999999,333333333.3333333,333.3333333333333,0.17189813627743902
2.5,0.5133923,0.5119935,0.0013988,86,82,8,0.586907715,400000000.0,400.0,0.16826119588414634
2.0,0.6473905910000001,0.6459935910000001,0.001397,86,82,8,0.125763428,499999999.99999994,499.99999999999994,0.16974265495731708
1.8,0.718082175,0.716684875,0.0013973,86,82,8,36.628784,555555555.5555555,555.5555555555554,0.16944987910060977
1.6,0.807269509,0.805872009,0.0013974999999999999,86,82,8,12.627441,624999999.9999999,624.9999999999999,0.16932970188780488
1.4,0.9248633660000001,0.923464966,0.0013984000000000002,86,82,8,4.143555,714285714.2857143,714.2857142857142,0.16974626412560975
1.2,1.0754481999999999,1.074048,0.0014001999999999999,86,82,8,3.899536,833333333.3333334,833.3333333333334,0.16918636317073169
1.15,1.1222518,1.12085,0.0014018,86,82,8,0.655396,869565217.3913044,869.5652173913044,0.16919314484756096
1.1,1.1707727,1.16937,0.0014027,86,82,8,2.446533,909090909.090909,909.090909090909,0.1688339899695122
1.05,1.2306952,1.229291,0.0014042,86,82,8,0.658936,952380952.3809522,952.3809523809523,0.16940819597560974
1.0,1.2890247,1.287618,0.0014067,86,82,8,0.986267,999999999.9999999,999.9999999999999,0.16898799420731705
0.95,1.3663163,1.364906,0.0014103000000000002,86,82,8,0.174988,1052631578.9473684,1052.6315789473683,0.17016469772865853
0.9,1.4325542,1.431143,0.0014112,86,82,8,0.458069,1111111111.111111,1111.1111111111109,0.16902392542682926
0.85,1.5153065,1.513893,0.0014135,86,82,8,0.099548,1176470588.235294,1176.4705882352941,0.16885503833841461
0.8,1.6073239000000001,1.605911,0.0014129000000000001,86,82,8,0.231384,1249999999.9999998,1249.9999999999998,0.16857299439024392
0.775,1.6587048,1.657291,0.0014138,86,82,8,0.131287,1290322580.6451612,1290.3225806451612,0.16852541908536584
0.75,1.7196022,1.718188,0.0014142,86,82,8,0.001587,1333333333.3333333,1333.3333333333333,0.1690767407012195
0.725,1.7826618,1.781242,0.0014198,86,82,8,0.142212,1379310344.8275862,1379.3103448275863,0.16943439516768294
0.7143,1.8006061,1.799181,0.0014251,86,82,8,0.170532,1399972000.5599885,1399.9720005599886,0.16861413506368905
0.7,1.816702,1.815277,0.001425,86,82,8,0.214844,1428571428.5714285,1428.5714285714284,0.16671564085365853
0.6897,1.8333957,1.831965,0.0014307,86,82,8,0.066345,1449905756.1258519,1449.905756125852,0.16577195004411585
0.675,1.8777401,1.876309,0.0014311,86,82,8,0.076294,1481481481.4814813,1481.4814814814813,0.16616282439786587
0.6667,1.9038036999999999,1.902359,0.0014447000000000002,86,82,8,0.218811,1499925003.7498126,1499.9250037498125,0.16639766723161584
