tech,BER Target,input_preFEC_BER,n,k,t,rate,energy,p_correctable,m_bits
ASAP7,1e-27,0.00100390625,86,44,21,0.5116279069767442,4.344689792264133,0.49894250547728286,8
ASAP7,1e-27,0.000837890625,86,46,20,0.5348837209302325,3.5342832920530958,0.4382567555390893,8
ASAP7,1e-27,0.000689453125,86,48,19,0.5581395348837209,2.857199842346616,0.3778084927043529,8
ASAP7,1e-27,0.00055859375,86,50,18,0.5813953488372093,2.2867529282948964,0.3191545043916474,8
ASAP7,1e-27,0.0004433593749999,86,52,17,0.6046511627906976,1.8389836764378371,0.2629495155636846,8
ASAP7,1e-27,0.0003447265625,86,54,16,0.627906976744186,1.4624317749426403,0.21117656316239947,8
ASAP7,1e-27,0.0002607421875,86,56,15,0.6511627906976745,1.1698920383998097,0.16424019052427705,8
ASAP7,1e-27,0.000191162109375,86,58,14,0.6744186046511628,0.9299423380923908,0.12324887220586678,8
ASAP7,1e-27,0.000134765625,86,60,13,0.6976744186046512,0.7442816840773405,0.08855588540353496,8
ASAP7,1e-27,9.09423828125e-05,86,62,12,0.7209302325581395,0.5975307487576212,0.06065382534151057,8
ASAP7,1e-27,5.7861328125e-05,86,64,11,0.7441860465116279,0.48774346787077527,0.03902774892762608,8
ASAP7,1e-27,3.424072265625e-05,86,66,10,0.7674418604651163,0.39825274250215414,0.023282696612830465,8
ASAP7,1e-27,1.8432617187500003e-05,86,68,9,0.7906976744186046,0.3248863401259506,0.012601682870754723,8
ASAP7,1e-27,8.773803710937501e-06,86,70,8,0.813953488372093,0.2677098244212437,0.006018220955021838,8
ASAP7,1e-27,3.5247802734375e-06,86,72,7,0.8372093023255814,0.21710111594946072,0.0024221150362141544,8
ASAP7,1e-27,1.1177062988281251e-06,86,74,6,0.8604651162790697,0.17770129189953618,0.0007686867721957021,8
ASAP7,1e-27,2.47955322265625e-07,86,76,5,0.8837209302325582,0.13993492862456278,0.00017057873266613168,8
ASAP7,1e-27,3.129243850708008e-08,86,78,4,0.9069767441860463,0.10634805483615027,2.1528966293096267e-05,8
ASAP7,1e-27,1.4901161193847655e-09,86,80,3,0.9302325581395348,0.07670683136928051,1.0251993764589474e-06,8
ASAP7,1e-27,1.0302755981683729e-11,86,82,2,0.9534883720930232,0.05146717695616308,7.088297923769141e-09,8
ASAP7,1e-27,6.10178574333986e-16,86,84,1,0.9767441860465116,0.026540189909468628,3.819167204709303e-13,8
ASAP7,1e-27,1e-27,86,86,0,1.0,0.0,0.0,8
ASAP7,1e-15,0.00378125,86,44,21,0.5116279069767442,6.7725099568753,0.9262025347983326,8
ASAP7,1e-15,0.00334375,86,46,20,0.5348837209302325,5.842320178097765,0.9001768085799858,8
ASAP7,1e-15,0.0029296875,86,48,19,0.5581395348837209,5.025737350914714,0.8671564760614607,8
ASAP7,1e-15,0.0025390624999999,86,50,18,0.5813953488372093,4.26820069875038,0.8260689762352168,8
ASAP7,1e-15,0.00217578125,86,52,17,0.6046511627906976,3.6246091009096,0.7765501713214151,8
ASAP7,1e-15,0.00183984375,86,54,16,0.627906976744186,3.039831334535995,0.7183185281381147,8
ASAP7,1e-15,0.00153515625,86,56,15,0.6511627906976745,2.526899879879071,0.6525029270175142,8
ASAP7,1e-15,0.0012558593749999,86,58,14,0.6744186046511628,2.057234094651191,0.5787691488443862,8
ASAP7,1e-15,0.001005859375,86,60,13,0.6976744186046512,1.6508883529805698,0.4996160256715553,8
ASAP7,1e-15,0.00078515625,86,62,12,0.7209302325581395,1.2982453101267768,0.417484612081932,8
ASAP7,1e-15,0.00059375,86,64,11,0.7441860465116279,1.0076048118874523,0.33543415849963487,8
ASAP7,1e-15,0.0004306640625,86,66,10,0.7674418604651163,0.7597217582296507,0.2564808044039061,8
ASAP7,1e-15,0.000296875,86,68,9,0.7906976744186046,0.5624037536291254,0.18476619074374764,8
ASAP7,1e-15,0.00019140625,86,70,8,0.813953488372093,0.41110856991568007,0.12339615479992108,8
ASAP7,1e-15,0.0001125488281249,86,72,7,0.8372093023255814,0.29449473697236406,0.07451555256221519,8
ASAP7,1e-15,5.810546875e-05,86,74,6,0.8604651162790697,0.21389982297239546,0.03918915803817693,8
ASAP7,1e-15,2.484130859375e-05,86,76,5,0.8837209302325582,0.1538050585730829,0.016945809412585795,8
ASAP7,1e-15,7.87353515625e-06,86,78,4,0.9069767441860463,0.11021512799329197,0.005402367952353696,8
ASAP7,1e-15,1.4896392822265626e-06,86,80,3,0.9302325581395348,0.07733667039231103,0.0010243475869535638,8
ASAP7,1e-15,1.0299682617187501e-07,86,82,2,0.9534883720930232,0.05150442021797005,7.085930936790837e-05,8
ASAP7,1e-15,6.062909960746763e-10,86,84,1,0.9767441860465116,0.02654037730171286,4.1712804799229194e-07,8
ASAP7,1e-15,1e-15,86,86,0,1.0,0.0,0.0,8
