tech,BER Target,input_preFEC_BER,n,k,t,rate,energy,p_correctable,m_bits
NanGate45,1e-27,0.00100390625,86,44,21,0.5116279069767442,24.138359572319374,0.49894250547728286,8
NanGate45,1e-27,0.000837890625,86,46,20,0.5348837209302325,19.263423210133926,0.4382567555390893,8
NanGate45,1e-27,0.000689453125,86,48,19,0.5581395348837209,15.643405104082317,0.3778084927043529,8
NanGate45,1e-27,0.00055859375,86,50,18,0.5813953488372093,11.819067221952476,0.3191545043916474,8
NanGate45,1e-27,0.0004433593749999,86,52,17,0.6046511627906976,10.200515428895843,0.2629495155636846,8
NanGate45,1e-27,0.0003447265625,86,54,16,0.627906976744186,7.953554626218842,0.21117656316239947,8
NanGate45,1e-27,0.0002607421875,86,56,15,0.6511627906976745,5.857567145009162,0.16424019052427705,8
NanGate45,1e-27,0.000191162109375,86,58,14,0.6744186046511628,4.650334101098187,0.12324887220586678,8
NanGate45,1e-27,0.000134765625,86,60,13,0.6976744186046512,3.6704998614190814,0.08855588540353496,8
NanGate45,1e-27,9.09423828125e-05,86,62,12,0.7209302325581395,3.1172879940413294,0.06065382534151057,8
NanGate45,1e-27,5.7861328125e-05,86,64,11,0.7441860465116279,2.3678572052125464,0.03902774892762608,8
NanGate45,1e-27,3.424072265625e-05,86,66,10,0.7674418604651163,1.9448347898087825,0.023282696612830465,8
NanGate45,1e-27,1.8432617187500003e-05,86,68,9,0.7906976744186046,1.5619170533822222,0.012601682870754723,8
NanGate45,1e-27,8.773803710937501e-06,86,70,8,0.813953488372093,1.2814821088464647,0.006018220955021838,8
NanGate45,1e-27,3.5247802734375e-06,86,72,7,0.8372093023255814,1.0515802826594536,0.0024221150362141544,8
NanGate45,1e-27,1.1177062988281251e-06,86,74,6,0.8604651162790697,0.8527222835733568,0.0007686867721957021,8
NanGate45,1e-27,2.47955322265625e-07,86,76,5,0.8837209302325582,0.6872611260174976,0.00017057873266613168,8
NanGate45,1e-27,3.129243850708008e-08,86,78,4,0.9069767441860463,0.526857312863673,2.1528966293096267e-05,8
NanGate45,1e-27,1.4901161193847655e-09,86,80,3,0.9302325581395348,0.3785554358062257,1.0251993764589474e-06,8
NanGate45,1e-27,1.0302755981683729e-11,86,82,2,0.9534883720930232,0.2553265648014073,7.088297923769141e-09,8
NanGate45,1e-27,6.10178574333986e-16,86,84,1,0.9767441860465116,0.1767534417276752,3.819167204709303e-13,8
NanGate45,1e-27,1e-27,86,86,0,1.0,0.0,0.0,8
NanGate45,1e-15,0.00378125,86,44,21,0.5116279069767442,39.37619487946587,0.9262025347983326,8
NanGate45,1e-15,0.00334375,86,46,20,0.5348837209302325,33.588987914751804,0.9001768085799858,8
NanGate45,1e-15,0.0029296875,86,48,19,0.5581395348837209,29.409366640713934,0.8671564760614607,8
NanGate45,1e-15,0.0025390624999999,86,50,18,0.5813953488372093,25.025038755142514,0.8260689762352168,8
NanGate45,1e-15,0.00217578125,86,52,17,0.6046511627906976,22.345246693332918,0.7765501713214151,8
NanGate45,1e-15,0.00183984375,86,54,16,0.627906976744186,18.544170424014357,0.7183185281381147,8
NanGate45,1e-15,0.00153515625,86,56,15,0.6511627906976745,13.932457838566895,0.6525029270175142,8
NanGate45,1e-15,0.0012558593749999,86,58,14,0.6744186046511628,11.489634182821908,0.5787691488443862,8
NanGate45,1e-15,0.001005859375,86,60,13,0.6976744186046512,9.236437187609738,0.4996160256715553,8
NanGate45,1e-15,0.00078515625,86,62,12,0.7209302325581395,8.560421098740136,0.417484612081932,8
NanGate45,1e-15,0.00059375,86,64,11,0.7441860465116279,5.696819115765765,0.33543415849963487,8
NanGate45,1e-15,0.0004306640625,86,66,10,0.7674418604651163,4.65107853197475,0.2564808044039061,8
NanGate45,1e-15,0.000296875,86,68,9,0.7906976744186046,3.1935921752183947,0.18476619074374764,8
NanGate45,1e-15,0.00019140625,86,70,8,0.813953488372093,2.260182527161817,0.12339615479992108,8
NanGate45,1e-15,0.0001125488281249,86,72,7,0.8372093023255814,1.647279531970212,0.07451555256221519,8
NanGate45,1e-15,5.810546875e-05,86,74,6,0.8604651162790697,1.1177821205767466,0.03918915803817693,8
NanGate45,1e-15,2.484130859375e-05,86,76,5,0.8837209302325582,0.7908777795654778,0.016945809412585795,8
NanGate45,1e-15,7.87353515625e-06,86,78,4,0.9069767441860463,0.5569185387488435,0.005402367952353696,8
NanGate45,1e-15,1.4896392822265626e-06,86,80,3,0.9302325581395348,0.3839821040040016,0.0010243475869535638,8
NanGate45,1e-15,1.0299682617187501e-07,86,82,2,0.9534883720930232,0.25566359719730614,7.085930936790837e-05,8
NanGate45,1e-15,6.062909960746763e-10,86,84,1,0.9767441860465116,0.17675520262703795,4.1712804799229194e-07,8
NanGate45,1e-15,1e-15,86,86,0,1.0,0.0,0.0,8
