Name,Process_nm,Reach_mm,Gbps_per_mm,Link_pJ_per_bit,BER,BER_target,Chosen_FEC_dataset,Base_node_nm,Target_model_node_nm,FEC_code_rate,FEC_energy_pJ_source,FEC_energy_pJ_scaled,FoM_raw,FoM_fec_unscaled,FoM_fec_scaled,Energy_factor_base,Energy_factor_target,Energy_scaling_source,Area_scaling_source,FEC_area_scale_factor,FEC_area_total_um2,FEC_area_total_um2_scaled,FEC_area_per_gbps_unscaled,FEC_area_per_gbps_scaled,FEC_p_correctable,FEC_encoder_energy_pJ,FEC_syndrome_energy_pJ,FEC_decoder_energy_pJ
112G XSR,7,50.0,700,1.5,1e-07,1e-30,ASAP7,7,7,0.8604651162790697,0.17703843201581362,0.17703843201581362,466.6666666666667,313.6652237823869,313.6652237823869,0.06535800000000003,0.06535800000000003,Polynomial_7nm,DeepScale_7nm,1.0,2533.59571,2533.59571,0.0010186202182498176,0.0010186202182498176,6.879763673797806e-05,0.12687543564645726,0.05010162432432433,0.9421678048210375
112G XSR,7,50.0,700,1.5,1e-07,1e-15,ASAP7,7,7,0.9534883720930232,0.051502346882821896,0.051502346882821896,466.6666666666667,410.81610156568223,410.81610156568223,0.06535800000000003,0.06535800000000003,Polynomial_7nm,DeepScale_7nm,1.0,1867.304298,1867.304298,0.0006114005268406903,0.0006114005268406903,6.879763668558265e-05,0.0370826244497323,0.014384548780487805,0.5256470615110055
Broadcom CPC,3,1254.0,539,7.2,1e-09,1e-30,ASAP7,7,3,0.9069767441860463,0.10633305578955796,0.0521031973368834,74.86111111111111,60.76730230820614,61.179713985188265,0.06535800000000003,0.03202542000000001,TSMC_public_3nm,TSMC_public_3nm,0.319693094629156,2195.456354,701.8722359335038,0.0007944636273777779,0.00025398453560670646,6.879997466221318e-07,0.07556222353714662,0.03077035897435898,0.7186747581854045
Broadcom CPC,3,1254.0,539,7.2,1e-09,1e-15,ASAP7,7,3,0.9534883720930232,0.051467524978699324,0.02521908723956267,74.86111111111111,67.59849906292932,67.83269286924417,0.06535800000000003,0.03202542000000001,TSMC_public_3nm,TSMC_public_3nm,0.319693094629156,1867.304298,596.9642896419438,0.0006114005268406903,0.00019546052648359666,6.879997466220794e-07,0.0370826244497323,0.014384548780487805,0.5256470615110055
Celestial,5,50000.0,8000,2.4,1e-08,1e-30,ASAP7,7,5,0.8837209302325582,0.13979930207334149,0.09785951145133903,3333.3333333333335,2475.7652438891328,2512.668594842464,0.06535800000000003,0.045750600000000016,TSMC_public_5nm,TSMC_public_5nm,0.5434782608695652,2363.345053,1284.4266592391305,0.0009008207182626039,0.0004895764773166325,6.879976403926534e-06,0.09955879037396122,0.0402351,0.8268220099722992
Celestial,5,50000.0,8000,2.4,1e-08,1e-15,ASAP7,7,5,0.9534883720930232,0.05147069070424388,0.036029483492970714,3333.3333333333335,2969.7398168936793,2987.700852577201,0.06535800000000003,0.045750600000000016,TSMC_public_5nm,TSMC_public_5nm,0.5434782608695652,1867.304298,1014.8392923913043,0.0006114005268406903,0.0003322828950221143,6.8799764038741366e-06,0.0370826244497323,0.014384548780487805,0.5256470615110055
Chang,12,100.0,4500,0.496,1e-12,1e-30,ASAP7,7,14,0.9534883720930232,0.05146717358196093,0.08973365262484972,9072.58064516129,7505.650990007549,7034.7520124802295,0.06535800000000003,0.11395248,Polynomial_14nm,DeepScale_14nm,2.941176470588235,1867.304298,5492.071464705882,0.0006114005268406903,0.001798236843649089,6.879847800226804e-10,0.0370826244497323,0.014384548780487805,0.5256470615110055
Chang,12,100.0,4500,0.496,1e-12,1e-15,ASAP7,7,14,0.9767441860465116,0.026540190213073495,0.046273149338282256,9072.58064516129,8225.603423872004,7932.658879655684,0.06535800000000003,0.11395248,Polynomial_14nm,DeepScale_14nm,2.941176470588235,1684.223241,4953.597767647058,0.0005255082039945578,0.001545612364689876,6.879847797887708e-10,0.018841142290249434,0.00769904761904762,0.4492443428571429
Columbia,28,20000.0,2000,0.4324,4e-10,1e-30,NanGate45,45,32,0.9069767441860463,0.5267384964491817,0.27059437714644297,4625.346901017576,1807.6498258729475,2427.2031149777567,1.0439100000000003,0.53627403,Polynomial_32nm,DeepScale_32nm,0.4538461538461538,32321.659474999997,14669.060838653842,0.03248897559468597,0.014744996616049786,2.7519998534296187e-07,0.2446439316500329,0.28209310496666673,5.586717231838002
Columbia,28,20000.0,2000,0.4324,4e-10,1e-15,NanGate45,45,32,0.9767441860465116,0.17675458553419593,0.09080178741979952,4625.346901017576,3153.586130103791,3661.666848483601,1.0439100000000003,0.53627403,Polynomial_32nm,DeepScale_32nm,0.4538461538461538,25562.865519000003,11601.608197084615,0.022155550018338663,0.010055211162169083,2.751999479157624e-07,0.11154595888677721,0.06520748283928572,4.221487822492517
Daudlin,28,4000.0,315,0.326,6e-08,1e-30,NanGate45,45,32,0.8837209302325582,0.6864471327242532,0.352639375279459,966.2576687116564,263.77432853833363,385.8058660660463,1.0439100000000003,0.53627403,Polynomial_32nm,DeepScale_32nm,0.4538461538461538,34566.16746,15687.722154923074,0.03659785379693425,0.016609795184762466,4.127914920843707e-05,0.31458686083277354,0.3716206404815789,6.176764750663711
Daudlin,28,4000.0,315,0.326,6e-08,1e-15,NanGate45,45,32,0.9534883720930232,0.25551762735605993,0.13126367958758176,966.2576687116564,502.7431352097129,634.764040355156,1.0439100000000003,0.53627403,Polynomial_32nm,DeepScale_32nm,0.4538461538461538,28023.897501,12718.53809660769,0.025487803128129025,0.011567541419689324,4.127914919711943e-05,0.12785611203353658,0.12747041904999998,4.756836000468293
Lightmatter L200,45,1000000.0,1500,2.6,1e-09,1e-30,NanGate45,45,45,0.9069767441860463,0.5267406861967548,0.5267406861967548,576.9230769230769,400.9141770530682,400.9141770530682,1.0439100000000003,1.0439100000000003,Polynomial_45nm,DeepScale_45nm,1.0,32321.659474999997,32321.659474999997,0.03248897559468597,0.03248897559468597,6.879997466221318e-07,0.2446439316500329,0.28209310496666673,5.586717231838002
Lightmatter L200,45,1000000.0,1500,2.6,1e-09,1e-15,NanGate45,45,45,0.9534883720930232,0.25532971608588356,0.25532971608588356,576.9230769230769,479.596348025547,479.596348025547,1.0439100000000003,1.0439100000000003,Polynomial_45nm,DeepScale_45nm,1.0,28023.897501,28023.897501,0.025487803128129025,0.025487803128129025,6.879997466220794e-07,0.12785611203353658,0.12747041904999998,4.756836000468293
Mediatek,5,400.0,644,5.3,2.5e-06,1e-30,ASAP7,7,5,0.813953488372093,0.26233455726328464,0.18363419008429924,121.50943396226415,77.384761845497,78.29441861620107,0.06535800000000003,0.045750600000000016,TSMC_public_5nm,TSMC_public_5nm,0.5434782608695652,2876.284027,1563.1978407608697,0.0012923320232333063,0.0007023543604528839,0.0017185237940300997,0.1891359457959184,0.07122151428571429,1.221684015020408
Mediatek,5,400.0,644,5.3,2.5e-06,1e-15,ASAP7,7,5,0.9069767441860463,0.10751476258956769,0.07526033381269738,121.50943396226415,98.14867519959068,98.68353068881076,0.06535800000000003,0.045750600000000016,TSMC_public_5nm,TSMC_public_5nm,0.5434782608695652,2195.456354,1193.1828010869565,0.0007944636273777779,0.000431773710531401,0.0017185237940299885,0.07556222353714662,0.03077035897435898,0.7186747581854045
Mlink,7,1.0,5310,0.46,1e-25,1e-30,ASAP7,7,7,0.9767441860465116,0.026540189909297053,0.026540189909297053,11543.478260869564,10425.30468128141,10425.30468128141,0.06535800000000003,0.06535800000000003,Polynomial_7nm,DeepScale_7nm,1.0,1684.223241,1684.223241,0.0005255082039945578,0.0005255082039945578,0.0,0.018841142290249434,0.00769904761904762,0.4492443428571429
Mlink,7,1.0,5310,0.46,1e-25,1e-15,ASAP7,7,7,1.0,0.0,0.0,11543.478260869564,11543.478260869564,11543.478260869564,0.06535800000000003,0.06535800000000003,Polynomial_7nm,DeepScale_7nm,,,,,,0.0,0.0,0.0,0.0
Netherton,7,20000.0,733,0.37,2.9e-05,1e-30,ASAP7,7,7,0.7441860465116279,0.4517972956533258,0.4517972956533258,1981.081081081081,574.8125518886563,574.8125518886563,0.06535800000000003,0.06535800000000003,Polynomial_7nm,DeepScale_7nm,1.0,3389.062621,3389.062621,0.0018216211587875003,0.0018216211587875003,0.019754559622130508,0.31079667656250004,0.10849679375,1.7538802375000002
Netherton,7,20000.0,733,0.37,2.9e-05,1e-15,ASAP7,7,7,0.8604651162790697,0.19459943452028997,0.19459943452028997,1981.081081081081,1009.8006744386017,1009.8006744386017,0.06535800000000003,0.06535800000000003,Polynomial_7nm,DeepScale_7nm,1.0,2533.59571,2533.59571,0.0010186202182498176,0.0010186202182498176,0.019754559622130317,0.12687543564645726,0.05010162432432433,0.9421678048210375
NuLink,3,20.0,4550,0.5,1e-15,1e-30,ASAP7,7,3,0.9534883720930232,0.051467173230571574,0.02521891488298007,9100.0,7533.76089974228,7893.558583722696,0.06535800000000003,0.03202542000000001,TSMC_public_3nm,TSMC_public_3nm,0.319693094629156,1867.304298,596.9642896419438,0.0006114005268406903,0.00019546052648359666,6.874500968477002e-13,0.0370826244497323,0.014384548780487805,0.5256470615110055
NuLink,3,20.0,4550,0.5,1e-15,1e-15,ASAP7,7,3,1.0,0.0,0.0,9100.0,9100.0,9100.0,0.06535800000000003,0.03202542000000001,TSMC_public_3nm,TSMC_public_3nm,,,,,,0.0,0.0,0.0,0.0
Nvidia GRS,16,54.0,354,0.54,1e-15,1e-30,ASAP7,7,16,0.9534883720930232,0.051467173230571574,0.11204664578377749,655.5555555555555,546.3421255387358,497.55424534159937,0.06535800000000003,0.14228767999999997,Polynomial_16nm,DeepScale_16nm,3.2258064516129035,1867.304298,6023.562251612903,0.0006114005268406903,0.0019722597640022266,6.874500968477002e-13,0.0370826244497323,0.014384548780487805,0.5256470615110055
Nvidia GRS,16,54.0,354,0.54,1e-15,1e-15,ASAP7,7,16,1.0,0.0,0.0,655.5555555555555,655.5555555555555,655.5555555555555,0.06535800000000003,0.14228767999999997,Polynomial_16nm,DeepScale_16nm,,,,,,0.0,0.0,0.0,0.0
