target_post_BER,input_preFEC_BER,n,k,m,t,rate,post_ber_est,note
1e-30,0.00103125,86,40,8,23,0.46511627906976744,9.611653025989562e-31,
1e-30,0.0008710937500000001,86,42,8,22,0.4883720930232558,9.561506084619016e-31,
1e-30,0.000728515625,86,44,8,21,0.5116279069767442,9.992678634397228e-31,
1e-30,0.0005996093750000001,86,46,8,20,0.5348837209302325,9.962387138183562e-31,
1e-30,0.0004853515625,86,48,8,19,0.5581395348837209,9.77835940599576e-31,
1e-30,0.00038623046875,86,50,8,18,0.5813953488372093,9.839234768511973e-31,
1e-30,0.00030078125000000005,86,52,8,17,0.6046511627906976,9.818558994147194e-31,
1e-30,0.00022851562499999999,86,54,8,16,0.627906976744186,9.805946007867116e-31,
1e-30,0.000168701171875,86,56,8,15,0.6511627906976745,9.877232191553027e-31,
1e-30,0.0001201171875,86,58,8,14,0.6744186046511628,9.744009585453548e-31,
1e-30,8.215332031249999e-05,86,60,8,13,0.6976744186046512,9.87822133240142e-31,
1e-30,5.334472656250001e-05,86,62,8,12,0.7209302325581395,9.929658270384081e-31,
1e-30,3.2470703125e-05,86,64,8,11,0.7441860465116279,9.881034881155386e-31,
1e-30,1.8249511718750003e-05,86,66,8,10,0.7674418604651163,9.94314293869268e-31,
1e-30,9.231567382812501e-06,86,68,8,9,0.7906976744186046,9.883363069054017e-31,
1e-30,4.0740966796875e-06,86,70,8,8,0.813953488372093,9.963310238782273e-31,
1e-30,1.48773193359375e-06,86,72,8,7,0.8372093023255814,9.92837634544325e-31,
1e-30,4.1580200195312505e-07,86,74,8,6,0.8604651162790697,9.852271338145243e-31,
1e-30,7.832050323486327e-08,86,76,8,5,0.8837209302325582,9.92288172540116e-31,
1e-30,7.852911949157715e-09,86,78,8,4,0.9069767441860465,9.907194176169896e-31,
1e-30,2.6496127247810367e-10,86,80,8,3,0.9302325581395349,9.969756933476543e-31,
1e-30,1.0295480024069549e-12,86,82,8,2,0.9534883720930233,9.972399080653995e-31,
1e-30,5.551115123125783e-17,86,84,8,1,0.9767441860465116,0.0,
1e-30,1e-30,86,86,8,0,1.0,1e-30,no_fec
1e-25,0.0016933593750000002,86,40,8,23,0.46511627906976744,9.800677924245354e-26,
1e-25,0.001458984375,86,42,8,22,0.4883720930232558,9.741195401963903e-26,
1e-25,0.0012441406250000002,86,44,8,21,0.5116279069767442,9.694401089045782e-26,
1e-25,0.001048828125,86,46,8,20,0.5348837209302325,9.705277755515511e-26,
1e-25,0.0008730468750000001,86,48,8,19,0.5581395348837209,9.855720659850373e-26,
1e-25,0.00071484375,86,50,8,18,0.5813953488372093,9.794110188569769e-26,
1e-25,0.0005751953125000001,86,52,8,17,0.6046511627906976,9.806211984896161e-26,
1e-25,0.00045312499999999997,86,54,8,16,0.627906976744186,9.753628251918051e-26,
1e-25,0.0003486328125,86,56,8,15,0.6511627906976745,9.845858300254931e-26,
1e-25,0.00026025390625,86,58,8,14,0.6744186046511628,9.776236290123519e-26,
1e-25,0.000187744140625,86,60,8,13,0.6976744186046512,9.842151704583344e-26,
1e-25,0.000129638671875,86,62,8,12,0.7209302325581395,9.793311746174526e-26,
1e-25,8.49609375e-05,86,64,8,11,0.7441860465116279,9.867519465722874e-26,
1e-25,5.2062988281250006e-05,86,66,8,10,0.7674418604651163,9.931292571400549e-26,
1e-25,2.923583984375e-05,86,68,8,9,0.7906976744186046,9.91399120265505e-26,
1e-25,1.46484375e-05,86,70,8,8,0.813953488372093,9.944531184293152e-26,
1e-25,6.2789916992187505e-06,86,72,8,7,0.8372093023255814,9.967945858137603e-26,
1e-25,2.1553039550781252e-06,86,74,8,6,0.8604651162790697,9.896058848143775e-26,
1e-25,5.340576171875e-07,86,76,8,5,0.8837209302325582,9.972498224979364e-26,
1e-25,7.855892181396483e-08,86,78,8,4,0.9069767441860465,9.925631378814124e-26,
1e-25,4.70876693725586e-09,86,80,8,3,0.9302325581395349,9.94449534196648e-26,
1e-25,4.7788489609956745e-11,86,82,8,2,0.9534883720930233,9.974169167773639e-26,
1e-25,6.046718681318453e-15,86,84,8,1,0.9767441860465116,9.776353198384167e-26,
1e-25,1e-25,86,86,8,0,1.0,1e-25,no_fec
1e-20,0.00280859375,86,40,8,23,0.46511627906976744,9.868617715114251e-21,
1e-20,0.0024687500000000005,86,42,8,22,0.4883720930232558,9.905312734662365e-21,
1e-20,0.0021484375,86,44,8,21,0.5116279069767442,9.639965391567107e-21,
1e-20,0.00185546875,86,46,8,20,0.5348837209302325,9.787230755515008e-21,
